de;en;fr;lux;pt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin Schüler (Enseignement Secondaire);I am a student (Enseignement Secondaire);Je suis élève (Enseignement Secondaire);Ech si Schüler (Enseignement Secondaire);Sou estudante (Enseignement Secondaire);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin in einer Berufsausbildung (CCP, DAP, DT), Weiterbildung (BM) oder Umschulung (z.B. CNFPC);I am in vocational training (CCP, DAP, DT), continuing education (BM) or retraining (e.g. CNFPC);Je suis en formation professionnelle (CCP, DAP, DT), en formation complémentaire (BM) ou en réorientation professionnelle (p. ex. CNFPC);Ech sinn an enger berufflecher Formatioun (CCP, DAP, DT), Weiderbildung (BM) oder Reconversion professionnelle (z.B. CNFPC);Estou a realizar formação profissional (CCP, DAP, DT), formação contínua (BM) ou reciclagem (p. ex. CNFPC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin Student (Universität oder Fachhochschule);I am a student (University or Technical College);Je suis étudiant(e) (Université ou École Supérieure Spécialisée);Ech si Student (Universitéit oder Fachhéichschoul);Sou estudante do ensino superior (Universidade ou Instituto Superior Técnico);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin vollzeiterwerbstätig;I am in full-time employment;Je travaille à plein temps;Ech si vollzäiterwerbstäteg;Sou trabalhador a tempo inteiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich habe keine Arbeit, aber bin auf Jobsuche;I am unemployed but looking for work;Je n’ai pas de travail, mais j’en recherche un;Ech hu keng Aarbecht, awer sinn op der Sich no engem Job;Não tenho trabalho, mas estou à procura de emprego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich kümmere mich um den Haushalt oder die Betreuung von anderen Personen im Haushalt;I look after the house or take care of other people in the household;Je m’occupe du ménage ou je m’occupe d’autres personnes chez moi;Ech bekëmmere mech ëm de Stot oder d’Betreiung vun anere Persounen am Stot;Ocupo-me da casa ou cuido de outras pessoas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich bin chronisch krank oder körperlich beeinträchtigt oder psychisch beeinträchtigt;I have a chronic condition or physical disability or mental disability;Je souffre d’une maladie chronique ou j’ai un handicap physique ou je souffre de troubles psychiques;Ech si chronesch krank oder kierperlech handicapéiert oder psychesch handicapéiert;Sou portador de doença crónica ou limitações físicas ou limitações psíquicas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich befinde mich in Elternzeit (congé parental) oder kümmere mich um die Betreuung von Kindern;I am on parental leave (congé parental) or looking after children;Je suis en congé parental ou bien je garde des enfants;Ech sinn am Congé parental oder bekëmmere mech ëm d’Betreiung vu Kanner;Estou em período de licença parental (congé parental) ou cuido de crianças;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ich befinde mich im Freiwilligendienst (z.B. service volontaire);I am doing voluntary service;J’effectue mon service volontaire;Ech sinn am Benevolat (z.B. service volontaire);Estou a prestar serviço voluntário (p. ex., service volontaire);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
